lambda,sigma,s1,s2,s3,sparsity_HF_block1,sparsity_HF_block2,sparsity_HF_block3,Adequacy_data_HF,meanVarCommuHFBlock1,meanVarCommuHFBlock2,meanVarCommuHFBlock3,sparsity_LF_block1,sparsity_LF_block2,sparsity_LF_block3,Adequacy_data_LF,meanVarCommuLFBlock1,meanVarCommuLFBlock2,meanVarCommuLFBlock3
0,0.3,2,2.4,1.4,15,3,12,0.1624880530851158,0.043133160935689904,0.029385921437493443,0.04888888888888889,15,3,12,0.1624880530851158,0.043133160935689904,0.029385921437493443,0.04888888888888889
0.5,0.3,2,2.4,1.4,15,3,12,0.16248966764752967,0.04313398112964212,0.029433460642355382,0.0488888888888889,15,3,12,0.1624880530851158,0.043133160935689904,0.029385921437493443,0.04888888888888889
0.9,0.3,2,2.4,1.4,15,3,12,0.16250206481011675,0.04314077648642256,0.02982294025498207,0.0488888888888889,15,3,12,0.16248805308511582,0.0431331609356899,0.029385921437493415,0.04888888888888889
0.9998,0.3,2,2.4,1.4,13,0,11,0.17215371455879347,0.04657289883886292,0.15316258047984319,0.05424267767573013,15,3,12,0.1624880530851158,0.0431331609356899,0.029385921437493433,0.048888888888888885
0,0.5,2,2.4,1.4,15,3,12,0.1624880530851158,0.043133160935689904,0.029385921437493443,0.04888888888888889,15,3,12,0.1624880530851158,0.043133160935689904,0.029385921437493443,0.04888888888888889
0.5,0.5,2,2.4,1.4,15,3,12,0.16248966764752967,0.04313398112964212,0.029433460642355382,0.0488888888888889,15,3,12,0.1624880530851158,0.043133160935689904,0.029385921437493443,0.04888888888888889
0.9,0.5,2,2.4,1.4,15,3,12,0.16250206481011675,0.04314077648642256,0.02982294025498207,0.0488888888888889,15,3,12,0.16248805308511582,0.0431331609356899,0.029385921437493415,0.04888888888888889
0.9998,0.5,2,2.4,1.4,13,0,11,0.17215371455879347,0.04657289883886292,0.15316258047984319,0.05424267767573013,15,3,12,0.1624880530851158,0.0431331609356899,0.029385921437493433,0.048888888888888885
0,0.9,2,2.4,1.4,15,3,12,0.1624880530851158,0.043133160935689904,0.029385921437493443,0.04888888888888889,15,3,12,0.1624880530851158,0.043133160935689904,0.029385921437493443,0.04888888888888889
0.5,0.9,2,2.4,1.4,15,3,12,0.16248966764752967,0.04313398112964212,0.029433460642355382,0.0488888888888889,15,3,12,0.1624880530851158,0.043133160935689904,0.029385921437493443,0.04888888888888889
0.9,0.9,2,2.4,1.4,15,3,12,0.16250206481011675,0.04314077648642256,0.02982294025498207,0.0488888888888889,15,3,12,0.16248805308511582,0.0431331609356899,0.029385921437493415,0.04888888888888889
0.9998,0.9,2,2.4,1.4,13,0,11,0.17215371455879347,0.04657289883886292,0.15316258047984319,0.05424267767573013,15,3,12,0.1624880530851158,0.0431331609356899,0.029385921437493433,0.048888888888888885
0,0.3,4,2.4,1.4,1,3,12,0.15795708170624637,0.009680787149842024,0.027676549206529354,0.04888888888888889,1,3,12,0.15795708170624637,0.009680787149842024,0.027676549206529354,0.04888888888888889
0.5,0.3,4,2.4,1.4,1,3,12,0.157942618561232,0.009682288346321887,0.027700861675593897,0.048888888888888905,1,3,12,0.15795708170624637,0.009680787149842024,0.027676549206529354,0.04888888888888889
0.9,0.3,4,2.4,1.4,1,3,12,0.15782654727153092,0.009694224945730214,0.027898992050158094,0.0488888888888889,1,3,12,0.1579570817062463,0.009680787149842015,0.0276765492065294,0.048888888888888885
0.9998,0.3,4,2.4,1.4,0,1,12,0.16657688884766714,0.0334041639519801,0.1263454625452406,0.04987444366739992,1,3,12,0.1579570817062464,0.009680787149842024,0.02767654920652936,0.04888888888888889
0,0.5,4,2.4,1.4,1,3,12,0.15795708170624637,0.009680787149842024,0.027676549206529354,0.04888888888888889,1,3,12,0.15795708170624637,0.009680787149842024,0.027676549206529354,0.04888888888888889
0.5,0.5,4,2.4,1.4,1,3,12,0.157942618561232,0.009682288346321887,0.027700861675593897,0.048888888888888905,1,3,12,0.15795708170624637,0.009680787149842024,0.027676549206529354,0.04888888888888889
0.9,0.5,4,2.4,1.4,1,3,12,0.15782654727153092,0.009694224945730214,0.027898992050158094,0.0488888888888889,1,3,12,0.1579570817062463,0.009680787149842015,0.0276765492065294,0.048888888888888885
0.9998,0.5,4,2.4,1.4,0,1,12,0.16657688884766714,0.0334041639519801,0.1263454625452406,0.04987444366739992,1,3,12,0.1579570817062464,0.009680787149842024,0.02767654920652936,0.04888888888888889
0,0.9,4,2.4,1.4,1,3,12,0.15795708170624637,0.009680787149842024,0.027676549206529354,0.04888888888888889,1,3,12,0.15795708170624637,0.009680787149842024,0.027676549206529354,0.04888888888888889
0.5,0.9,4,2.4,1.4,1,3,12,0.157942618561232,0.009682288346321887,0.027700861675593897,0.048888888888888905,1,3,12,0.15795708170624637,0.009680787149842024,0.027676549206529354,0.04888888888888889
0.9,0.9,4,2.4,1.4,1,3,12,0.15782654727153092,0.009694224945730214,0.027898992050158094,0.0488888888888889,1,3,12,0.1579570817062463,0.009680787149842015,0.0276765492065294,0.048888888888888885
0.9998,0.9,4,2.4,1.4,0,1,12,0.16657688884766714,0.0334041639519801,0.1263454625452406,0.04987444366739992,1,3,12,0.1579570817062464,0.009680787149842024,0.02767654920652936,0.04888888888888889
0,0.3,2.23606797749979,2.4,1.4,14,3,12,0.15922063015435917,0.04218918482703247,0.028810610721314446,0.04888888888888889,14,3,12,0.15922063015435917,0.04218918482703247,0.028810610721314446,0.04888888888888889
0.5,0.3,2.23606797749979,2.4,1.4,14,3,12,0.1592158947124713,0.04218843013560383,0.02885413300141806,0.04888888888888888,14,3,12,0.15922063015435917,0.04218918482703247,0.028810610721314446,0.04888888888888889
0.9,0.3,2.23606797749979,2.4,1.4,14,3,12,0.15917764675829488,0.042182428204224964,0.029211176897595836,0.0488888888888889,14,3,12,0.15922063015435917,0.04218918482703246,0.028810610721314397,0.04888888888888889
0.9998,0.3,2.23606797749979,2.4,1.4,12,0,11,0.16812492140048763,0.0450767511786413,0.14813680766599135,0.05066101966039783,14,3,12,0.15922063015435917,0.04218918482703246,0.0288106107213144,0.04888888888888889
0,0.5,2.23606797749979,2.4,1.4,14,3,12,0.15922063015435917,0.04218918482703247,0.028810610721314446,0.04888888888888889,14,3,12,0.15922063015435917,0.04218918482703247,0.028810610721314446,0.04888888888888889
0.5,0.5,2.23606797749979,2.4,1.4,14,3,12,0.1592158947124713,0.04218843013560383,0.02885413300141806,0.04888888888888888,14,3,12,0.15922063015435917,0.04218918482703247,0.028810610721314446,0.04888888888888889
0.9,0.5,2.23606797749979,2.4,1.4,14,3,12,0.15917764675829488,0.042182428204224964,0.029211176897595836,0.0488888888888889,14,3,12,0.15922063015435917,0.04218918482703246,0.028810610721314397,0.04888888888888889
0.9998,0.5,2.23606797749979,2.4,1.4,12,0,11,0.16812492140048763,0.0450767511786413,0.14813680766599135,0.05066101966039783,14,3,12,0.15922063015435917,0.04218918482703246,0.0288106107213144,0.04888888888888889
0,0.9,2.23606797749979,2.4,1.4,14,3,12,0.15922063015435917,0.04218918482703247,0.028810610721314446,0.04888888888888889,14,3,12,0.15922063015435917,0.04218918482703247,0.028810610721314446,0.04888888888888889
0.5,0.9,2.23606797749979,2.4,1.4,14,3,12,0.1592158947124713,0.04218843013560383,0.02885413300141806,0.04888888888888888,14,3,12,0.15922063015435917,0.04218918482703247,0.028810610721314446,0.04888888888888889
